USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
bikennepal        5141   9.4  2.7 508057216 445040   ??  Ss   11:02AM   3:40.89 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_windowserver      645   1.2  0.8 436965104 135952   ??  Ss   10:05AM  10:07.39 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root              1099   0.0  0.0 435306352   2688   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
_installcoordinationd  1096   0.0  0.0 435305584   2096   ??  S    10:05AM   0:00.24 /usr/sbin/distnoted agent
_accessoryupdater  1091   0.0  0.0 435339984   4656   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
_accessoryupdater  1093   0.0  0.0 435338864   3968   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
_accessoryupdater  1094   0.0  0.0 435305376   2096   ??  S    10:05AM   0:00.24 /usr/sbin/distnoted agent
_accessoryupdater  1089   0.0  0.0 435345712   4640   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
_accessoryupdater  1090   0.0  0.0 435304752   2352   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
_accessoryupdater  1092   0.0  0.0 435305408   3168   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
root              1097   0.0  0.0 435338064   3344   ??  Ss   10:05AM   0:00.02 /System/Library/PrivateFrameworks/MobileInstallation.framework/XPCServices/com.apple.MobileInstallationHelperService.xpc/Contents/MacOS/com.apple.MobileInstallationHelperService
_installcoordinationd  1087   0.0  0.0 435306000   3808   ??  Ss   10:05AM   0:00.05 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
bikennepal        1086   0.0  0.1 435351520  10768   ??  Ss   10:05AM   0:00.03 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5yZW1pbmRlcnMuV2lkZ2V0RXh0ZW5zaW9uIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1084   0.0  0.1 435339584  11504   ??  S    10:05AM   0:00.12 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
bikennepal        1082   0.0  0.1 435401184  24784   ??  Ss   10:05AM   0:00.10 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5wb2RjYXN0cy53aWRnZXQiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
root              1081   0.0  0.0 435313056   3024   ??  Ss   10:05AM   0:00.05 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
root              1079   0.0  0.0 435305072   2928   ??  Ss   10:05AM   0:00.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
root              1080   0.0  0.0 435305392   2944   ??  Ss   10:05AM   0:00.05 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
bikennepal        1078   0.0  0.1 435356176  19440   ??  Ss   10:05AM   0:00.05 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMuc2VjdXJlIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1076   0.0  0.1 435358960  24784   ??  S    10:05AM   0:01.28 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
bikennepal        1077   0.0  0.1 435352016  19296   ??  Ss   10:05AM   0:00.05 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1075   0.0  0.0 435300912   2448   ??  S    10:05AM   0:00.02 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
_assetcache       1074   0.0  0.0 435341344   5472   ??  Ss   10:05AM   0:00.06 /usr/libexec/AssetCache/AssetCache
bikennepal        1073   0.0  0.0 435339952   6880   ??  Ss   10:05AM   0:00.05 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-IN")
bikennepal        1072   0.0  0.1 435355280  23904   ??  Ss   10:05AM   0:00.08 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVFbmVyZ3lXaWRnZXRzIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1071   0.0  0.1 435339984  14816   ??  Ss   10:05AM   0:00.04 /System/Applications/Weather.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-IN")
bikennepal        1070   0.0  0.1 435339696  11536   ??  S    10:05AM   0:00.30 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
bikennepal        1069   0.0  0.1 435353248  21152   ??  Ss   10:05AM   0:00.07 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5jbG9jay5Xb3JsZENsb2NrV2lkZ2V0IiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1067   0.0  0.2 435370496  27168   ??  S    10:05AM   0:00.53 /usr/libexec/searchpartyuseragent
bikennepal        1066   0.0  0.2 435549008  40544   ??  Ss   10:05AM   0:00.34 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QaG90b3MuUGhvdG9zUmVsaXZlV2lkZ2V0IiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
_modelmanagerd    1065   0.0  0.0 435305744   2080   ??  S    10:05AM   0:00.24 /usr/sbin/distnoted agent
_modelmanagerd    1064   0.0  0.0 435316192   5568   ??  Ss   10:05AM   0:00.05 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib3N0SW5mZXJlbmNlUHJvdmlkZXJTZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1062   0.0  0.1 435384224  17024   ??  Ss   10:05AM   0:02.03 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1063   0.0  0.0 435338560   5536   ??  S    10:05AM   0:00.05 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
bikennepal        1060   0.0  0.1 435345616  13312   ??  S    10:05AM   0:00.39 /usr/libexec/milod
bikennepal        1061   0.0  0.4 435629856  60512   ??  Ss   10:05AM   0:01.37 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53ZWF0aGVyLndpZGdldCIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1059   0.0  0.1 435355360  19552   ??  Ss   10:05AM   0:00.05 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1058   0.0  0.1 435351504  16176   ??  Ss   10:05AM   0:00.04 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlZvaWNlTWVtb3NTZXR0aW5nc1dpZGdldCIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1057   0.0  0.1 435353296  17984   ??  Ss   10:05AM   0:00.07 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-IN")
bikennepal        1056   0.0  0.1 435352384  19664   ??  Ss   10:05AM   0:00.05 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0SXRlbXMiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1055   0.0  0.2 435358880  38528   ??  S    10:05AM   0:01.29 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
root               827   0.0  0.0 435343024   5728   ??  Ss   10:05AM   0:00.13 /usr/libexec/symptomsd-diag
bikennepal        1054   0.0  0.1 435351568  18832   ??  Ss   10:05AM   0:00.06 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TY3JlZW5UaW1lV2lkZ2V0QXBwbGljYXRpb24uU2NyZWVuVGltZVdpZGdldEV4dGVuc2lvbiIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1052   0.0  0.0 435343536   7776   ??  Ss   10:05AM   0:00.20 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
bikennepal        1051   0.0  0.2 435355424  27600   ??  Ss   10:05AM   0:00.13 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1050   0.0  0.1 435353136  23296   ??  Ss   10:05AM   0:00.11 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVXaWRnZXQuSW50ZXJhY3RpdmUiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1049   0.0  0.1 435410080   8864   ??  Ss   10:05AM   0:00.07 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
bikennepal        1048   0.0  0.0 435370416   6416   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1047   0.0  0.0 435410368   8240   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
bikennepal        1046   0.0  0.1 435409456  16992   ??  Ss   10:05AM   0:00.07 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer.appex/Contents/MacOS/WardaSynthesizer -AppleLanguages ("en-IN")
bikennepal        1045   0.0  0.0 435410832   7968   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
bikennepal        1043   0.0  0.0 435409456   7856   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
_fpsd             1044   0.0  0.0 410166592   7408   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/CoreADI.framework/adid
bikennepal         926   0.0  0.0 435339456   5776   ??  S    10:05AM   0:00.05 /System/Library/CoreServices/appplaceholdersyncd
bikennepal        1039   0.0  0.1 435354128  19856   ??  Ss   10:05AM   0:00.07 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0UGVvcGxlIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1040   0.0  0.0 435344160   7872   ??  S    10:05AM   0:00.11 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
bikennepal        1041   0.0  0.0 435370336   6400   ??  Ss   10:05AM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal         917   0.0  0.1 435341856  15424   ??  S    10:05AM   0:03.11 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
bikennepal        1038   0.0  0.1 435344848  12640   ??  S    10:05AM   0:00.24 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
bikennepal        1037   0.0  0.0 435307424   4704   ??  S    10:05AM   0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
bikennepal        1036   0.0  0.0 435370544   6416   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1035   0.0  0.1 435351120  15824   ??  Ss   10:05AM   0:00.06 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlJlY29yZFdpZGdldCIsInR5cGUiOjEsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1034   0.0  0.0 435370016   6416   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1008   0.0  0.1 435346144  13200   ??  S    10:05AM   0:00.18 /usr/libexec/appleaccountd
_accessoryupdater   825   0.0  0.0 435306944   3072   ??  Ss   10:05AM   0:00.08 /usr/libexec/uarpd
bikennepal        1033   0.0  0.1 435353040  10992   ??  S    10:05AM   0:00.16 /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
bikennepal        1032   0.0  0.1 435342688  10496   ??  S    10:05AM   0:00.20 /usr/libexec/swtransparencyd
bikennepal        1031   0.0  0.0 435339600   6224   ??  Ss   10:05AM   0:00.14 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
bikennepal        1030   0.0  0.1 435296528  11072   ??  S    10:05AM   0:00.12 /usr/libexec/avconferenced
bikennepal        1029   0.0  0.0 435300192   3136   ??  S    10:05AM   0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
bikennepal        1027   0.0  0.0 435339808   6000   ??  Ss   10:05AM   0:00.11 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
bikennepal        1028   0.0  0.1 435341344  12944   ??  S    10:05AM   0:00.88 /System/Library/Frameworks/Translation.framework/translationd
bikennepal        1026   0.0  0.1 435712448  12128   ??  S    10:05AM   0:01.09 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
root              1024   0.0  0.0 435301296   1984   ??  Ss   10:05AM   0:00.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
bikennepal        1022   0.0  0.1 435349488  12224   ??  Ss   10:05AM   0:00.36 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
bikennepal        1023   0.0  0.1 435340800  10688   ??  S    10:05AM   0:00.12 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
root              1020   0.0  0.1 435359424  18304   ??  Ss   10:05AM   0:00.31 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
bikennepal        1014   0.0  0.1 435351936  11360   ??  Ss   10:05AM   0:00.04 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QZW9wbGVWaWV3U2VydmljZS5QZW9wbGVXaWRnZXQtbWFjT1MiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1019   0.0  0.0 435306752   4848   ??  S    10:05AM   0:00.05 /usr/libexec/assessmentagent
bikennepal        1018   0.0  0.2 435525536  41120   ??  S    10:05AM   0:00.18 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
bikennepal        1017   0.0  0.1 435289360  11072   ??  Ss   10:05AM   0:00.21 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
bikennepal        1016   0.0  0.0 435379360   2384   ??  Ss   10:05AM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
bikennepal        1015   0.0  0.3 439799664  54208   ??  S    10:05AM   0:02.84 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
bikennepal        1013   0.0  0.1 435350752  11040   ??  Ss   10:05AM   0:00.04 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ob3Rlcy5XaWRnZXRFeHRlbnNpb24iLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1012   0.0  0.1 435350080  25120   ??  Ss   10:05AM   0:00.04 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zaG9ydGN1dHMuU2hvcnRjdXRzV2lkZ2V0IiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal         940   0.0  0.1 435344896  17872   ??  S    10:05AM   0:00.42 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
bikennepal        1007   0.0  0.1 435582000  10608   ??  Ss   10:05AM   0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TYWZhcmkuU2FmYXJpV2lkZ2V0RXh0ZW5zaW9uIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
bikennepal        1006   0.0  0.0 435404048   5184   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
bikennepal        1009   0.0  0.1 435360416  18704   ??  S    10:05AM   0:00.32 /usr/libexec/mlhostd
bikennepal        1011   0.0  0.1 435340128  12944   ??  S    10:05AM   0:00.55 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
bikennepal        1010   0.0  0.1 435339104   9408   ??  S    10:05AM   0:00.16 /usr/libexec/inputanalyticsd
bikennepal        1005   0.0  0.0 435366464   2736   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        1003   0.0  0.0 435350960   8208   ??  Ss   10:05AM   0:00.02 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50aXBzLldpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
bikennepal        1004   0.0  0.0 435339152   7248   ??  S    10:05AM   0:00.04 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
bikennepal         972   0.0  0.0 435305296   1856   ??  Ss   10:05AM   0:00.01 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
bikennepal        1002   0.0  0.9 436897296 155568   ??  S    10:05AM   0:02.26 /Applications/Ollama.app/Contents/Resources/ollama serve
bikennepal        1001   0.0  0.1 435340640  11664   ??  S    10:05AM   0:01.43 /usr/libexec/triald
bikennepal        1000   0.0  0.2 435359872  25776   ??  S    10:05AM   0:02.67 /usr/libexec/networkserviceproxy
bikennepal         999   0.0  0.1 435342128  17392   ??  S    10:05AM   0:00.27 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
bikennepal         997   0.0  0.1 435349664  13744   ??  Ss   10:05AM   0:00.39 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
bikennepal         985   0.0  0.1 435373632   9136   ??  Ss   10:05AM   0:00.32 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
bikennepal         998   0.0  0.1 435350240  12528   ??  S    10:05AM   0:00.22 /System/Library/CoreServices/ScopedBookmarkAgent
bikennepal         996   0.0  0.3 435388624  46608   ??  S    10:05AM   0:01.45 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
bikennepal         994   0.0  0.1 435348816  19776   ??  S    10:05AM   0:00.45 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
bikennepal         992   0.0  0.1 435345008  16688   ??  S    10:05AM   0:00.33 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
bikennepal         993   0.0  0.0 435345392   7472   ??  S    10:05AM   0:00.09 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
bikennepal         990   0.0  0.1 435340528  12752   ??  S    10:05AM   0:00.19 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
bikennepal         988   0.0  0.5 435421840  89072   ??  S    10:05AM   0:28.51 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
bikennepal         987   0.0  0.1 435306240   8752   ??  S    10:05AM   0:00.55 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
bikennepal         989   0.0  0.3 435293520  45264   ??  Ss   10:05AM   0:00.20 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
bikennepal         986   0.0  0.1 435339904   9120   ??  S    10:05AM   0:00.10 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
_applepay          823   0.0  0.0 435305584   4880   ??  Ss   10:05AM   0:00.09 /usr/libexec/seld
bikennepal         984   0.0  0.3 435447136  47616   ??  S    10:05AM   0:00.33 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
bikennepal         983   0.0  0.1 435350720  13632   ??  S    10:05AM   0:00.24 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
bikennepal         982   0.0  0.2 435519632  39968   ??  S    10:05AM   0:00.82 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
bikennepal         981   0.0  0.1 435344896  21792   ??  S    10:05AM   0:02.20 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
bikennepal         980   0.0  0.0 435339376   5648   ??  S    10:05AM   0:00.04 /usr/libexec/frauddefensed
bikennepal         979   0.0  0.4 435385424  58848   ??  S    10:05AM   0:40.85 /usr/libexec/duetexpertd
bikennepal         978   0.0  0.0 435344352   7664   ??  S    10:05AM   0:00.10 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
bikennepal         900   0.0  0.5 442815168  79280   ??  S    10:05AM   0:20.20 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
